scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d1,original,0,12.602723,12.65238,0.7885668,0.7779564,7.827430009841919,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d1,original,1,13.580222,13.376388,0.72923106,0.7342684,7.284354209899902,105,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d1,original,2,25.473322,24.407213,0.801026,0.8100446,11.70727801322937,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,0,11.975686,11.51468,0.79908645,0.79792255,9.74812912940979,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,1,12.623101,12.340639,0.7483146,0.7548443,9.000239849090576,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,2,24.504887,22.586893,0.8085905,0.8242117,10.7098069190979,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,0,12.1092205,11.494442,0.7968462,0.79827774,20.01025891304016,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,1,12.556159,11.813001,0.7496493,0.76532626,23.898010969161987,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,2,25.511724,22.765593,0.800726,0.8228209,13.747888088226318,133,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d3,A,0,13.648161,12.831761,0.77102774,0.77480835,17.07551884651184,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d3,A,1,13.510588,12.907542,0.7306195,0.74358237,18.216965913772583,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d3,A,2,33.989655,30.738028,0.7345042,0.7607734,14.651349067687988,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_relu_d3,A,0,13.214147,12.551603,0.7783091,0.779725,25.42965817451477,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_relu_d3,A,1,14.075129,13.47703,0.7193634,0.73226917,17.848116874694824,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_relu_d3,A,2,26.494781,24.254993,0.79304725,0.8112293,12.72101092338562,143,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d3,B,0,13.397644,12.934154,0.7752306,0.77301145,20.428427696228027,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d3,B,1,14.2928095,13.413542,0.71502316,0.7335304,18.381778240203857,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d3,B,2,29.315443,25.991236,0.77101487,0.79771656,18.106207847595215,135,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_relu_d3,B,0,14.17213,13.504466,0.7622372,0.7630027,19.489174127578735,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_relu_d3,B,1,14.435119,13.537647,0.71218574,0.7310649,27.28602123260498,126,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_relu_d3,B,2,28.623362,26.443281,0.7764208,0.7941984,14.901180267333984,92,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+C_gelu_d3,C,0,12.983164,11.370871,0.78218424,0.80044633,26.569416999816895,94,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+C_gelu_d3,C,1,13.335008,11.744155,0.73412025,0.76669395,23.304175853729248,104,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+C_gelu_d3,C,2,28.123508,22.336615,0.7803252,0.8261596,20.485376834869385,96,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+D_gelu_d3,D,0,13.12495,12.088097,0.77980554,0.7878593,41.15225601196289,134,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+D_gelu_d3,D,1,13.528289,12.565872,0.7302666,0.7503699,33.21011781692505,137,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+D_gelu_d3,D,2,27.392097,24.277477,0.7860383,0.8110543,31.31277060508728,150,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss_d1,original,0,9.203066,9.482921,0.84560215,0.833579,16.772593021392822,150,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss_d1,original,1,15.778531,15.884772,0.6854001,0.68443763,16.89428400993347,125,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss_d1,original,2,28.318806,27.460047,0.77879965,0.78628516,15.029000043869019,113,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss_d3,original,0,8.956967,8.685491,0.84973085,0.8475735,21.87245011329651,146,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss_d3,original,1,15.12231,15.013636,0.6984842,0.70174336,18.61915898323059,119,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss_d3,original,2,27.943731,26.516207,0.7817294,0.79363084,47.85363984107971,128,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss_d5,original,0,8.993619,8.606107,0.84911597,0.8489667,27.136252880096436,120,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss_d5,original,1,15.417317,14.97265,0.69260216,0.70255756,30.966920852661133,125,success
gaussian_linear_MAR,gaussian,linear,MAR,NeuMiss_d5,original,2,28.412066,26.970787,0.7780712,0.79009295,25.87728214263916,150,success
