scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d1,original,0,6917.158,6620.7095,0.097438455,0.12626368,4.473225831985474,85,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d1,original,1,7400.395,7079.9736,0.4177463,0.45797485,8.890612840652466,129,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d1,original,2,31587.322,31773.293,0.043177187,0.06985474,9.159674882888794,110,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d3,original,0,7021.793,6470.216,0.083785534,0.14612436,6.414397954940796,93,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d3,original,1,7448.2656,6782.2896,0.4139799,0.48076475,9.846300840377808,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d3,original,2,32442.39,30996.07,0.017275989,0.0926075,9.01695203781128,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,0,7262.2046,6669.7207,0.052416265,0.11979568,6.800066947937012,65,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,1,7390.9824,6516.5444,0.4184869,0.5011096,23.44390892982483,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,2,32488.832,30925.91,0.01586926,0.094661415,10.470980882644653,94,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_gelu_d3,A,0,2837.6433,2619.589,0.6297399,0.65429235,14.79160189628601,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_gelu_d3,A,1,5044.6074,4449.3506,0.6030967,0.65936875,13.623945236206055,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_gelu_d3,A,2,13888.602,13395.308,0.5792954,0.6078599,15.001978158950806,116,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_relu_d3,A,0,2865.1643,2565.1772,0.62614894,0.66147304,23.25086784362793,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_relu_d3,A,1,4627.436,4232.7354,0.6359192,0.6759523,21.59802794456482,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_relu_d3,A,2,12615.833,12059.757,0.61784935,0.6469574,29.37140917778015,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_tanh_d3,A,0,3353.3877,3071.908,0.56244475,0.5945997,25.275567054748535,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_tanh_d3,A,1,4917.243,4638.981,0.6131176,0.64485115,34.832658767700195,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_tanh_d3,A,2,15017.692,14345.007,0.5450938,0.580058,71.71639895439148,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_silu_d3,A,0,2813.944,2592.2092,0.63283217,0.65790564,27.834461212158203,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_silu_d3,A,1,4558.612,4128.2295,0.6413342,0.68395305,28.875242948532104,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+A_silu_d3,A,2,13219.443,13516.448,0.59956515,0.6043136,16.082650184631348,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+B_gelu_d3,B,0,2936.572,2599.5583,0.61683154,0.6569358,43.29847192764282,150,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss+B_gelu_d3,B,1,5342.8,4773.6895,0.57963526,0.6345382,20.81001615524292,150,success
