scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d1,original,0,12.754509,12.65962,0.78602034,0.77782935,17.105693817138672,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d1,original,1,13.201742,13.099896,0.7367774,0.7397611,19.10531187057495,142,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d1,original,2,25.930935,24.931953,0.7974515,0.80596066,13.201704025268555,128,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d1,A,0,12.569685,12.671665,0.7891211,0.77761793,11.534136056900024,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d1,A,1,14.084616,14.144028,0.71917427,0.7190187,11.87763786315918,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d1,A,2,25.875015,24.908129,0.7978883,0.8061461,12.117063760757446,137,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d1,B,0,14.721173,14.49858,0.753026,0.7455564,23.516736030578613,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d1,B,1,17.84258,17.437765,0.6442461,0.65358627,21.03330111503601,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d1,B,2,30.257307,28.714,0.7636579,0.7765259,19.915031671524048,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d2,original,0,12.15656,11.978794,0.796052,0.7897775,13.813423156738281,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d2,original,1,12.752506,12.532429,0.74573445,0.7510343,30.367760181427002,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d2,original,2,26.172878,24.692856,0.7955617,0.8078215,17.18192481994629,137,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d2,A,0,12.737611,12.422717,0.7863038,0.7819869,28.662322282791138,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d2,A,1,13.086294,12.762436,0.73907924,0.7464651,30.655439853668213,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d2,A,2,27.093431,25.185635,0.78837115,0.8039863,22.730727910995483,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d2,B,0,14.091225,13.300568,0.76359457,0.766581,45.30028700828552,142,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d2,B,1,14.355324,13.736507,0.7137767,0.72711444,41.830666065216064,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d2,B,2,28.734987,26.90015,0.7755488,0.7906427,33.53221607208252,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,0,11.9953985,11.612795,0.79875576,0.79620063,22.985909938812256,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,1,12.463606,12.080121,0.7514947,0.7600197,25.931795120239258,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,2,24.884142,22.682875,0.80562806,0.8234647,45.803297996520996,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d3,A,0,12.981288,12.439269,0.7822157,0.78169644,26.754358053207397,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d3,A,1,13.989575,13.025073,0.7210692,0.74124753,31.686699151992798,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+A_gelu_d3,A,2,28.998413,25.036095,0.7734912,0.80515015,32.41702198982239,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d3,B,0,13.156617,12.599002,0.7792742,0.7788932,26.117529153823853,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d3,B,1,14.221203,13.453325,0.7164509,0.73274004,49.23370003700256,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss+B_gelu_d3,B,2,27.846312,25.320913,0.7824904,0.8029335,36.83068370819092,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d4,original,0,12.079269,11.488012,0.7973487,0.7983905,26.11026620864868,150,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d4,original,1,12.480224,11.9607115,0.75116336,0.76239187,28.83975076675415,150,success
