scenario,method,r2_test,seed,response,distribution,status
gaussian_linear_MCAR,NM+MLP_d3_h32,0.7402667,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_h64,0.7569056,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_h128,0.7432722,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_h64x32,0.7540637,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_h128x64,0.720692,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_h128x64x32,0.73053545,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_h256x128x64,0.7057073,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d1_h64x32,0.7204479,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d2_h64x32,0.7395995,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_h64x32,0.7451863,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d5_h64x32,0.74526274,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d7_h64x32,0.72470164,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_act,0.7369838,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_noact,0.7561667,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d5_res,0.74386084,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d5_nores,0.7020271,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_relu,0.72356457,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_gelu,0.74113154,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_silu,0.7303541,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_tanh,0.7433356,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_dp0.0,0.7342191,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_dp0.05,0.7276503,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_dp0.1,0.74245524,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_dp0.2,0.7412152,0,linear,gaussian,success
gaussian_linear_MCAR,NM+MLP_d3_dp0.3,0.75066996,0,linear,gaussian,success
