n_features,method,r2_test
5,NeuMiss_d5,0.1099866
5,NM+C_d5,0.5867425
5,NM+MLP_d3,0.58638793
5,NMwide+MLP_d3,0.61883783
5,ImputeMLP,0.65862775
10,NeuMiss_d5,-0.044415116
10,NM+C_d5,0.6705004
10,NM+MLP_d3,0.57983935
10,NMwide+MLP_d3,0.6365315
10,ImputeMLP,0.6936611
20,NeuMiss_d5,-0.12465131
20,NM+C_d5,0.32609683
20,NM+MLP_d3,0.26486355
20,NMwide+MLP_d3,0.28666574
20,ImputeMLP,0.44664252
50,NeuMiss_d5,-0.20987976
50,NM+C_d5,0.3597672
50,NM+MLP_d3,0.31116307
50,NMwide+MLP_d3,0.31194443
50,ImputeMLP,0.48217648
