scenario,model,seed,r2
gauss_linear_MCAR,NeuMiss,0,0.73670876
gauss_linear_MCAR,NeuMiss,1,0.6860168
gauss_linear_MCAR,NeuMiss,2,0.7489046
gauss_linear_MCAR,ImputeMLP,0,0.75431925
gauss_linear_MCAR,ImputeMLP,1,0.68415767
gauss_linear_MCAR,ImputeMLP,2,0.7654249
gauss_linear_MCAR,PretrainEnc,0,0.759243
gauss_linear_MCAR,PretrainEnc,1,0.6700417
gauss_linear_MCAR,PretrainEnc,2,0.75536805
gauss_linear_MCAR,NeuMiss_NL,0,0.7567612
gauss_linear_MCAR,NeuMiss_NL,1,0.6754172
gauss_linear_MCAR,NeuMiss_NL,2,0.7499263
gauss_linear_MCAR,PENNMiss,0,0.70909405
gauss_linear_MCAR,PENNMiss,1,0.65022707
gauss_linear_MCAR,PENNMiss,2,0.7189196
gauss_linear_MCAR,PretrainPENN,0,0.72702956
gauss_linear_MCAR,PretrainPENN,1,0.6576873
gauss_linear_MCAR,PretrainPENN,2,0.7292878
gauss_quad_MCAR,NeuMiss,0,-0.0042316914
gauss_quad_MCAR,NeuMiss,1,0.29924285
gauss_quad_MCAR,NeuMiss,2,-0.18693185
gauss_quad_MCAR,ImputeMLP,0,0.70189226
gauss_quad_MCAR,ImputeMLP,1,0.5935781
gauss_quad_MCAR,ImputeMLP,2,0.6549645
gauss_quad_MCAR,PretrainEnc,0,0.6316173
gauss_quad_MCAR,PretrainEnc,1,0.5658338
gauss_quad_MCAR,PretrainEnc,2,0.6398103
gauss_quad_MCAR,NeuMiss_NL,0,0.64302707
gauss_quad_MCAR,NeuMiss_NL,1,0.56697685
gauss_quad_MCAR,NeuMiss_NL,2,0.5867511
gauss_quad_MCAR,PENNMiss,0,0.66937464
gauss_quad_MCAR,PENNMiss,1,0.53868985
gauss_quad_MCAR,PENNMiss,2,0.6439717
gauss_quad_MCAR,PretrainPENN,0,0.6614443
gauss_quad_MCAR,PretrainPENN,1,0.5409354
gauss_quad_MCAR,PretrainPENN,2,0.62597823
gauss_cubic_MCAR,NeuMiss,0,0.50373816
gauss_cubic_MCAR,NeuMiss,1,0.34119374
gauss_cubic_MCAR,NeuMiss,2,0.42293078
gauss_cubic_MCAR,ImputeMLP,0,0.7261476
gauss_cubic_MCAR,ImputeMLP,1,0.52654123
gauss_cubic_MCAR,ImputeMLP,2,0.6707816
gauss_cubic_MCAR,PretrainEnc,0,0.65849054
gauss_cubic_MCAR,PretrainEnc,1,0.48125625
gauss_cubic_MCAR,PretrainEnc,2,0.61580145
gauss_cubic_MCAR,NeuMiss_NL,0,0.676442
gauss_cubic_MCAR,NeuMiss_NL,1,0.49901116
gauss_cubic_MCAR,NeuMiss_NL,2,0.61590457
gauss_cubic_MCAR,PENNMiss,0,0.69671714
gauss_cubic_MCAR,PENNMiss,1,0.45326793
gauss_cubic_MCAR,PENNMiss,2,0.6152422
gauss_cubic_MCAR,PretrainPENN,0,0.66313934
gauss_cubic_MCAR,PretrainPENN,1,0.4718138
gauss_cubic_MCAR,PretrainPENN,2,0.6636434
gauss_interact_MCAR,NeuMiss,0,0.0073730946
gauss_interact_MCAR,NeuMiss,1,0.124745846
gauss_interact_MCAR,NeuMiss,2,-0.039754152
gauss_interact_MCAR,ImputeMLP,0,0.59698457
gauss_interact_MCAR,ImputeMLP,1,0.5919006
gauss_interact_MCAR,ImputeMLP,2,0.46977723
gauss_interact_MCAR,PretrainEnc,0,0.5566366
gauss_interact_MCAR,PretrainEnc,1,0.5862211
gauss_interact_MCAR,PretrainEnc,2,0.47702748
gauss_interact_MCAR,NeuMiss_NL,0,0.5570512
gauss_interact_MCAR,NeuMiss_NL,1,0.5866313
gauss_interact_MCAR,NeuMiss_NL,2,0.39846784
gauss_interact_MCAR,PENNMiss,0,0.5793927
gauss_interact_MCAR,PENNMiss,1,0.5881441
gauss_interact_MCAR,PENNMiss,2,0.41521287
gauss_interact_MCAR,PretrainPENN,0,0.57215333
gauss_interact_MCAR,PretrainPENN,1,0.5936221
gauss_interact_MCAR,PretrainPENN,2,0.4468788
student_quad_MCAR,NeuMiss,0,-0.06534231
student_quad_MCAR,NeuMiss,1,0.15721595
student_quad_MCAR,NeuMiss,2,-0.06720686
student_quad_MCAR,ImputeMLP,0,0.519514
student_quad_MCAR,ImputeMLP,1,0.53077966
student_quad_MCAR,ImputeMLP,2,0.42492175
student_quad_MCAR,PretrainEnc,0,0.4215734
student_quad_MCAR,PretrainEnc,1,0.52628124
student_quad_MCAR,PretrainEnc,2,0.32928652
student_quad_MCAR,NeuMiss_NL,0,0.45355123
student_quad_MCAR,NeuMiss_NL,1,0.49591148
student_quad_MCAR,NeuMiss_NL,2,0.30377358
student_quad_MCAR,PENNMiss,0,0.5317277
student_quad_MCAR,PENNMiss,1,0.4913203
student_quad_MCAR,PENNMiss,2,0.41384405
student_quad_MCAR,PretrainPENN,0,0.4868812
student_quad_MCAR,PretrainPENN,1,0.497746
student_quad_MCAR,PretrainPENN,2,0.42688066
