scenario,method,r2_test,seed,distribution,response,missing_mechanism,status
gaussian_linear_MCAR,NeuMiss_d5,0.8046088,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+C_gelu_d3,0.77873254,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM-Encoder_d3,0.7750834,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,ImputeMLP,0.7868655,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NeuMiss_d5,0.7524159,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+C_gelu_d3,0.73543155,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM-Encoder_d3,0.721362,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,ImputeMLP,0.72958165,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NeuMiss_d5,0.8002545,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+C_gelu_d3,0.7881187,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM-Encoder_d3,0.77283996,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,ImputeMLP,0.7865078,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NeuMiss_d5,0.7791561,3,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+C_gelu_d3,0.74618405,3,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM-Encoder_d3,0.7486317,3,gaussian,linear,MCAR,success
gaussian_linear_MCAR,ImputeMLP,0.7550409,3,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NeuMiss_d5,0.5339354,4,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+C_gelu_d3,0.4743623,4,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM-Encoder_d3,0.4708004,4,gaussian,linear,MCAR,success
gaussian_linear_MCAR,ImputeMLP,0.4917764,4,gaussian,linear,MCAR,success
gaussian_quadratic_MCAR,NeuMiss_d5,0.058074355,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+C_gelu_d3,0.6472937,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM-Encoder_d3,0.669248,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,ImputeMLP,0.69021666,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NeuMiss_d5,0.44283366,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+C_gelu_d3,0.683077,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM-Encoder_d3,0.691568,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,ImputeMLP,0.7014822,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NeuMiss_d5,0.017449617,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+C_gelu_d3,0.6546054,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM-Encoder_d3,0.6651593,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,ImputeMLP,0.67770225,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NeuMiss_d5,0.3440904,3,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+C_gelu_d3,0.69902635,3,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM-Encoder_d3,0.71862644,3,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,ImputeMLP,0.72665507,3,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NeuMiss_d5,0.34780133,4,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+C_gelu_d3,0.4258349,4,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM-Encoder_d3,0.44617522,4,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,ImputeMLP,0.4711588,4,gaussian,quadratic,MCAR,success
gaussian_cubic_MCAR,NeuMiss_d5,0.51922566,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+C_gelu_d3,0.68294376,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM-Encoder_d3,0.68356407,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,ImputeMLP,0.7202946,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NeuMiss_d5,0.47430712,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+C_gelu_d3,0.6774926,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM-Encoder_d3,0.6686623,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,ImputeMLP,0.6996863,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NeuMiss_d5,0.5282054,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+C_gelu_d3,0.65723526,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM-Encoder_d3,0.66261387,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,ImputeMLP,0.6982838,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NeuMiss_d5,0.4754529,3,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+C_gelu_d3,0.6857548,3,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM-Encoder_d3,0.68841696,3,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,ImputeMLP,0.72892666,3,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NeuMiss_d5,0.32458264,4,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+C_gelu_d3,0.42852587,4,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM-Encoder_d3,0.43427962,4,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,ImputeMLP,0.457502,4,gaussian,cubic,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.038593173,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+C_gelu_d3,0.61578405,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM-Encoder_d3,0.64896554,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,ImputeMLP,0.66814744,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.20926952,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+C_gelu_d3,0.6671404,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM-Encoder_d3,0.6648387,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,ImputeMLP,0.69023657,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.023990154,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+C_gelu_d3,0.527189,2,gaussian,interaction,MCAR,success
