scenario,method,r2_test,seed
gaussian_quadratic_MCAR,NeuMiss_d3,0.049466908,0
gaussian_quadratic_MCAR,NeuMiss_d5,0.024199128,0
gaussian_quadratic_MCAR,NM+A_gelu_d5,0.5001459,0
gaussian_quadratic_MCAR,Hybrid_d3_ef2,0.6393564,0
gaussian_quadratic_MCAR,Hybrid_d5_ef2,0.612401,0
gaussian_quadratic_MCAR,Hybrid_d3_ef3,0.60418355,0
gaussian_quadratic_MCAR,Hybrid_d5_ef3,0.58677316,0
gaussian_quadratic_MCAR,Hybrid_d3_ef4,0.5899936,0
gaussian_quadratic_MCAR,Hybrid_d5_ef4,0.6112286,0
gaussian_quadratic_MCAR,NeuMiss_d3,0.4059494,1
gaussian_quadratic_MCAR,NeuMiss_d5,0.40665728,1
gaussian_quadratic_MCAR,NM+A_gelu_d5,0.58801687,1
gaussian_quadratic_MCAR,Hybrid_d3_ef2,0.62897396,1
gaussian_quadratic_MCAR,Hybrid_d5_ef2,0.60644716,1
gaussian_quadratic_MCAR,Hybrid_d3_ef3,0.64164567,1
gaussian_quadratic_MCAR,Hybrid_d5_ef3,0.6221585,1
gaussian_quadratic_MCAR,Hybrid_d3_ef4,0.6088605,1
gaussian_quadratic_MCAR,Hybrid_d5_ef4,0.6207409,1
gaussian_quadratic_MCAR,NeuMiss_d3,0.038516343,2
gaussian_quadratic_MCAR,NeuMiss_d5,0.013662934,2
gaussian_quadratic_MCAR,NM+A_gelu_d5,0.6011199,2
gaussian_quadratic_MCAR,Hybrid_d3_ef2,0.6426825,2
gaussian_quadratic_MCAR,Hybrid_d5_ef2,0.6449833,2
gaussian_quadratic_MCAR,Hybrid_d3_ef3,0.64150596,2
gaussian_quadratic_MCAR,Hybrid_d5_ef3,0.649531,2
gaussian_quadratic_MCAR,Hybrid_d3_ef4,0.6666825,2
gaussian_quadratic_MCAR,Hybrid_d5_ef4,0.6463208,2
gaussian_cubic_MCAR,NeuMiss_d3,0.53299105,0
gaussian_cubic_MCAR,NeuMiss_d5,0.5207782,0
gaussian_cubic_MCAR,NM+A_gelu_d5,0.5812407,0
gaussian_cubic_MCAR,Hybrid_d3_ef2,0.60469484,0
gaussian_cubic_MCAR,Hybrid_d5_ef2,0.5688885,0
gaussian_cubic_MCAR,Hybrid_d3_ef3,0.55128944,0
gaussian_cubic_MCAR,Hybrid_d5_ef3,0.5912935,0
gaussian_cubic_MCAR,Hybrid_d3_ef4,0.58521473,0
gaussian_cubic_MCAR,Hybrid_d5_ef4,0.61536777,0
gaussian_cubic_MCAR,NeuMiss_d3,0.45289695,1
gaussian_cubic_MCAR,NeuMiss_d5,0.4476068,1
gaussian_cubic_MCAR,NM+A_gelu_d5,0.5799618,1
gaussian_cubic_MCAR,Hybrid_d3_ef2,0.5757161,1
gaussian_cubic_MCAR,Hybrid_d5_ef2,0.51695645,1
