scenario,method,r2_test,seed,distribution,response,missing_mechanism,status
gaussian_linear_MCAR,NeuMiss_d5,0.78806555,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+A_gelu_d5,0.7613631,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+C_gelu_d5_ef3,0.7593534,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d3_h64,0.7611967,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d3_h64x32,0.73980254,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d5_h128x64,0.7378193,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d3_h128x64x32,0.72245073,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d5_noact,0.7399397,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NMwide+MLP_d3_ef3,0.7446213,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NMwide+MLP_d5_ef3,0.74524474,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,ImputeMLP_128x64x32,0.7783834,0,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NeuMiss_d5,0.7235695,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+A_gelu_d5,0.68631804,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+C_gelu_d5_ef3,0.65853643,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d3_h64,0.68258274,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d3_h64x32,0.66404676,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d5_h128x64,0.6691674,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d3_h128x64x32,0.6357142,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d5_noact,0.66718495,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NMwide+MLP_d3_ef3,0.67282563,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NMwide+MLP_d5_ef3,0.6736536,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,ImputeMLP_128x64x32,0.69524693,1,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NeuMiss_d5,0.7969025,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+A_gelu_d5,0.7722726,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+C_gelu_d5_ef3,0.7667799,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d3_h64,0.75110775,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d3_h64x32,0.7590436,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d5_h128x64,0.7273191,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d3_h128x64x32,0.72087705,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NM+MLP_d5_noact,0.7493621,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NMwide+MLP_d3_ef3,0.75336283,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,NMwide+MLP_d5_ef3,0.7475288,2,gaussian,linear,MCAR,success
gaussian_linear_MCAR,ImputeMLP_128x64x32,0.78058106,2,gaussian,linear,MCAR,success
gaussian_quadratic_MCAR,NeuMiss_d5,0.047449946,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+A_gelu_d5,0.537549,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+C_gelu_d5_ef3,0.6071104,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d3_h64,0.6217087,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d3_h64x32,0.5672842,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d5_h128x64,0.57350594,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d3_h128x64x32,0.5654838,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d5_noact,0.51984686,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NMwide+MLP_d3_ef3,0.5846196,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NMwide+MLP_d5_ef3,0.57668674,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,ImputeMLP_128x64x32,0.67162144,0,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NeuMiss_d5,0.42031687,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+A_gelu_d5,0.5783702,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+C_gelu_d5_ef3,0.633742,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d3_h64,0.61377144,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d3_h64x32,0.6020982,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d5_h128x64,0.6202266,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d3_h128x64x32,0.5745444,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d5_noact,0.60151136,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NMwide+MLP_d3_ef3,0.6316915,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NMwide+MLP_d5_ef3,0.5858613,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,ImputeMLP_128x64x32,0.6608472,1,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NeuMiss_d5,0.023362756,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+A_gelu_d5,0.4628893,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+C_gelu_d5_ef3,0.6619899,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d3_h64,0.59155434,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d3_h64x32,0.5719478,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d5_h128x64,0.6213621,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d3_h128x64x32,0.55648565,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NM+MLP_d5_noact,0.5829252,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NMwide+MLP_d3_ef3,0.59864974,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,NMwide+MLP_d5_ef3,0.61135983,2,gaussian,quadratic,MCAR,success
gaussian_quadratic_MCAR,ImputeMLP_128x64x32,0.70366764,2,gaussian,quadratic,MCAR,success
gaussian_cubic_MCAR,NeuMiss_d5,0.5271596,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+A_gelu_d5,0.571059,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+C_gelu_d5_ef3,0.62673986,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d3_h64,0.5814599,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d3_h64x32,0.5584513,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d5_h128x64,0.5087824,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d3_h128x64x32,0.55277836,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d5_noact,0.5306865,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NMwide+MLP_d3_ef3,0.5713355,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NMwide+MLP_d5_ef3,0.5898254,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,ImputeMLP_128x64x32,0.69108915,0,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NeuMiss_d5,0.43126976,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+A_gelu_d5,0.5617877,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+C_gelu_d5_ef3,0.6037003,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d3_h64,0.5938586,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d3_h64x32,0.56668407,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d5_h128x64,0.5528218,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d3_h128x64x32,0.53212774,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d5_noact,0.54555464,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NMwide+MLP_d3_ef3,0.57515526,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NMwide+MLP_d5_ef3,0.54908305,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,ImputeMLP_128x64x32,0.6428909,1,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NeuMiss_d5,0.5407203,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+A_gelu_d5,0.6226889,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+C_gelu_d5_ef3,0.6739212,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d3_h64,0.642527,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d3_h64x32,0.63648355,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d5_h128x64,0.6133604,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d3_h128x64x32,0.5765563,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NM+MLP_d5_noact,0.55008936,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NMwide+MLP_d3_ef3,0.6448404,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,NMwide+MLP_d5_ef3,0.64655036,2,gaussian,cubic,MCAR,success
gaussian_cubic_MCAR,ImputeMLP_128x64x32,0.7278466,2,gaussian,cubic,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.04402834,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+A_gelu_d5,0.4632311,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+C_gelu_d5_ef3,0.57334423,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d3_h64,0.45080912,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d3_h64x32,0.5001513,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d5_h128x64,0.46052396,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d3_h128x64x32,0.4872275,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+MLP_d5_noact,0.4394771,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NMwide+MLP_d3_ef3,0.49896038,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NMwide+MLP_d5_ef3,0.539878,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,ImputeMLP_128x64x32,0.6273613,0,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NeuMiss_d5,0.16583443,1,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NM+A_gelu_d5,0.4707045,1,gaussian,interaction,MCAR,success
