scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d3,original,0,6460.463,6446.668,0.0477255,0.1498065,15.809093952178955,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d3,original,1,6637.2495,6817.875,0.44262797,0.4815185,29.444761991500854,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,0,6575.9507,6509.652,0.030702531,0.14150012,16.942458152770996,77,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,1,6729.722,6832.0234,0.4348625,0.48044258,19.788896083831787,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_gelu_d3,A,0,2917.4954,2652.6436,0.5699601,0.6501665,19.94402003288269,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_gelu_d3,A,1,4530.099,4492.193,0.61957884,0.6583805,12.792540073394775,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_gelu_d5,A,0,2872.7156,2772.8293,0.57656074,0.63431627,19.428848028182983,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_gelu_d5,A,1,5210.1895,4711.482,0.56246734,0.6417042,26.65099000930786,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_gelu_d3,D,0,3252.566,2807.6216,0.52057064,0.62972784,37.9316349029541,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_gelu_d3,D,1,4570.5107,4024.1624,0.6161852,0.69397306,24.709760189056396,100,success
gaussian_quadratic_MAR,gaussian,quadratic,MAR,NeuMiss_d3,original,0,5679.2607,5830.1753,0.16287494,0.23111022,11.642951250076294,100,success
gaussian_quadratic_MAR,gaussian,quadratic,MAR,NeuMiss_d3,original,1,2791.8235,2961.8555,0.7655529,0.7747587,8.298639059066772,100,success
