scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d3,original,0,6428.912,6556.431,0.05237609,0.1353308,20.512879848480225,84,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d3,original,1,6906.636,7016.498,0.42000586,0.46641374,30.292760133743286,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,0,6590.366,6466.5806,0.028577685,0.14718038,22.594939947128296,92,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,1,6821.988,6727.295,0.42711437,0.4884069,14.845770835876465,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_gelu_d2,D,0,3086.4753,2632.8552,0.5450524,0.65277624,24.964001893997192,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_gelu_d2,D,1,4447.119,4001.633,0.62654716,0.69568634,15.466706991195679,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_relu_d2,D,0,3034.9688,2540.7466,0.5526445,0.6649236,15.528191089630127,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_relu_d2,D,1,4210.5845,3701.3406,0.64641047,0.7185228,23.00695300102234,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_tanh_d2,D,0,3020.7192,2888.2676,0.5547449,0.61909217,36.817955017089844,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_tanh_d2,D,1,4197.15,3964.5916,0.64753866,0.69850326,23.43770694732666,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_gelu_d3,D,0,3037.8923,2606.5715,0.55221355,0.6562425,21.733717679977417,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_gelu_d3,D,1,4304.8647,3918.276,0.6384932,0.7020254,23.921194076538086,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_relu_d3,D,0,3109.518,2739.428,0.5416559,0.6387213,20.94696283340454,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_relu_d3,D,1,4462.9185,4143.028,0.6252204,0.68493366,21.706051111221313,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_tanh_d3,D,0,3558.7434,3359.4858,0.47543997,0.55694735,27.81759214401245,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_tanh_d3,D,1,4624.223,4405.916,0.6116746,0.66494167,29.945877075195312,100,success
