dataset,missing_rate,mechanism,method,fold,r2,actual_miss_rate,status
CaliforniaHousing,0.1,MCAR,NeuMiss_d3,0,0.42207501175031314,0.09815,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d5,0,0.3914520932255957,0.09815,success
CaliforniaHousing,0.1,MCAR,NM+C_gelu,0,0.3764668360661163,0.09815,success
CaliforniaHousing,0.1,MCAR,PretrainEnc,0,0.6184022787109215,0.09815,success
CaliforniaHousing,0.1,MCAR,ImputeMLP,0,0.6489366464643946,0.09815,success
CaliforniaHousing,0.1,MCAR,IterImp+Ridge,0,0.2733042360628608,0.09815,success
CaliforniaHousing,0.1,MCAR,IterImp+RF,0,0.6593930417718399,0.09815,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d3,1,0.4896229601702071,0.0982,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d5,1,0.4961344028949919,0.0982,success
CaliforniaHousing,0.1,MCAR,NM+C_gelu,1,0.5091913158007225,0.0982,success
CaliforniaHousing,0.1,MCAR,PretrainEnc,1,0.6321730590294803,0.0982,success
CaliforniaHousing,0.1,MCAR,ImputeMLP,1,0.6690021331514249,0.0982,success
CaliforniaHousing,0.1,MCAR,IterImp+Ridge,1,0.5424796340907058,0.0982,success
CaliforniaHousing,0.1,MCAR,IterImp+RF,1,0.6610130584239537,0.0982,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d3,2,0.4913440487676336,0.09965,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d5,2,0.41736973130653343,0.09965,success
CaliforniaHousing,0.1,MCAR,NM+C_gelu,2,0.45185814489386933,0.09965,success
CaliforniaHousing,0.1,MCAR,PretrainEnc,2,0.6458990645156355,0.09965,success
CaliforniaHousing,0.1,MCAR,ImputeMLP,2,0.6622308950217151,0.09965,success
CaliforniaHousing,0.1,MCAR,IterImp+Ridge,2,0.46919337884899837,0.09965,success
CaliforniaHousing,0.1,MCAR,IterImp+RF,2,0.6670108695703945,0.09965,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d3,3,-0.15441111097225257,0.097025,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d5,3,0.4946878110496171,0.097025,success
CaliforniaHousing,0.1,MCAR,NM+C_gelu,3,0.5111678728622534,0.097025,success
CaliforniaHousing,0.1,MCAR,PretrainEnc,3,0.6333424896895687,0.097025,success
CaliforniaHousing,0.1,MCAR,ImputeMLP,3,0.673332237825395,0.097025,success
CaliforniaHousing,0.1,MCAR,IterImp+Ridge,3,0.5461266808925969,0.097025,success
CaliforniaHousing,0.1,MCAR,IterImp+RF,3,0.691786175274131,0.097025,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d3,4,0.5276508516424265,0.097625,success
CaliforniaHousing,0.1,MCAR,NeuMiss_d5,4,0.48415931164391823,0.097625,success
CaliforniaHousing,0.1,MCAR,NM+C_gelu,4,0.5273396635250336,0.097625,success
CaliforniaHousing,0.1,MCAR,PretrainEnc,4,0.6723835522649955,0.097625,success
CaliforniaHousing,0.1,MCAR,ImputeMLP,4,0.718833050505149,0.097625,success
CaliforniaHousing,0.1,MCAR,IterImp+Ridge,4,0.57850629888539,0.097625,success
CaliforniaHousing,0.1,MCAR,IterImp+RF,4,0.6966401781128997,0.097625,success
CaliforniaHousing,0.1,MAR,NeuMiss_d3,0,0.37773458117182956,0.167125,success
CaliforniaHousing,0.1,MAR,NeuMiss_d5,0,0.4635299068626967,0.167125,success
CaliforniaHousing,0.1,MAR,NM+C_gelu,0,0.465046673524957,0.167125,success
CaliforniaHousing,0.1,MAR,PretrainEnc,0,0.6236730443865198,0.167125,success
CaliforniaHousing,0.1,MAR,ImputeMLP,0,0.649697360796455,0.167125,success
CaliforniaHousing,0.1,MAR,IterImp+Ridge,0,0.3931980009496503,0.167125,success
CaliforniaHousing,0.1,MAR,IterImp+RF,0,0.6420186060707904,0.167125,success
CaliforniaHousing,0.1,MAR,NeuMiss_d3,1,0.4084141453712977,0.16495,success
CaliforniaHousing,0.1,MAR,NeuMiss_d5,1,0.4495116591787418,0.16495,success
CaliforniaHousing,0.1,MAR,NM+C_gelu,1,0.5249246640936902,0.16495,success
CaliforniaHousing,0.1,MAR,PretrainEnc,1,0.6101050561363599,0.16495,success
CaliforniaHousing,0.1,MAR,ImputeMLP,1,0.6634223276833283,0.16495,success
CaliforniaHousing,0.1,MAR,IterImp+Ridge,1,0.4856915325127539,0.16495,success
CaliforniaHousing,0.1,MAR,IterImp+RF,1,0.655503129576083,0.16495,success
CaliforniaHousing,0.1,MAR,NeuMiss_d3,2,0.23609892744113092,0.1655,success
CaliforniaHousing,0.1,MAR,NeuMiss_d5,2,0.3966028132554764,0.1655,success
CaliforniaHousing,0.1,MAR,NM+C_gelu,2,0.3894214551625135,0.1655,success
CaliforniaHousing,0.1,MAR,PretrainEnc,2,0.512745797005068,0.1655,success
CaliforniaHousing,0.1,MAR,ImputeMLP,2,0.6513683806801396,0.1655,success
CaliforniaHousing,0.1,MAR,IterImp+Ridge,2,0.20529966196917337,0.1655,success
CaliforniaHousing,0.1,MAR,IterImp+RF,2,0.6323684088464785,0.1655,success
CaliforniaHousing,0.1,MAR,NeuMiss_d3,3,0.5054685960265284,0.16405,success
CaliforniaHousing,0.1,MAR,NeuMiss_d5,3,0.5627183745073496,0.16405,success
CaliforniaHousing,0.1,MAR,NM+C_gelu,3,0.4837637443538779,0.16405,success
CaliforniaHousing,0.1,MAR,PretrainEnc,3,0.660086442531034,0.16405,success
CaliforniaHousing,0.1,MAR,ImputeMLP,3,0.7137754861551097,0.16405,success
CaliforniaHousing,0.1,MAR,IterImp+Ridge,3,0.562278921057719,0.16405,success
CaliforniaHousing,0.1,MAR,IterImp+RF,3,0.692618402791332,0.16405,success
CaliforniaHousing,0.1,MAR,NeuMiss_d3,4,0.5103065420296484,0.163025,success
CaliforniaHousing,0.1,MAR,NeuMiss_d5,4,0.5123260926836295,0.163025,success
CaliforniaHousing,0.1,MAR,NM+C_gelu,4,0.5020694463986987,0.163025,success
CaliforniaHousing,0.1,MAR,PretrainEnc,4,0.6187373600206834,0.163025,success
CaliforniaHousing,0.1,MAR,ImputeMLP,4,0.6751031092452091,0.163025,success
CaliforniaHousing,0.1,MAR,IterImp+Ridge,4,0.5186921417169617,0.163025,success
CaliforniaHousing,0.1,MAR,IterImp+RF,4,0.6616502100302952,0.163025,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d3,0,0.2253342323259988,0.299575,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d5,0,0.284252690380596,0.299575,success
CaliforniaHousing,0.3,MCAR,NM+C_gelu,0,0.012933899043645947,0.299575,success
CaliforniaHousing,0.3,MCAR,PretrainEnc,0,0.47269246674517507,0.299575,success
CaliforniaHousing,0.3,MCAR,ImputeMLP,0,0.5334282842798673,0.299575,success
CaliforniaHousing,0.3,MCAR,IterImp+Ridge,0,0.40578920681060815,0.299575,success
CaliforniaHousing,0.3,MCAR,IterImp+RF,0,0.554869052493367,0.299575,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d3,1,0.3463549990474364,0.2996,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d5,1,0.3854843720059856,0.2996,success
CaliforniaHousing,0.3,MCAR,NM+C_gelu,1,0.368327486707964,0.2996,success
CaliforniaHousing,0.3,MCAR,PretrainEnc,1,0.37088424474271675,0.2996,success
CaliforniaHousing,0.3,MCAR,ImputeMLP,1,0.5551155912514348,0.2996,success
CaliforniaHousing,0.3,MCAR,IterImp+Ridge,1,0.4552208437899239,0.2996,success
CaliforniaHousing,0.3,MCAR,IterImp+RF,1,0.5482094569716945,0.2996,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d3,2,0.3102225436145669,0.297475,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d5,2,0.2871852287807557,0.297475,success
CaliforniaHousing,0.3,MCAR,NM+C_gelu,2,0.17197864556268116,0.297475,success
CaliforniaHousing,0.3,MCAR,PretrainEnc,2,0.43127194911021016,0.297475,success
CaliforniaHousing,0.3,MCAR,ImputeMLP,2,0.5360224781950329,0.297475,success
CaliforniaHousing,0.3,MCAR,IterImp+Ridge,2,0.3796552955655451,0.297475,success
CaliforniaHousing,0.3,MCAR,IterImp+RF,2,0.5496319970216537,0.297475,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d3,3,0.36607433873562933,0.297225,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d5,3,0.3126622749400174,0.297225,success
CaliforniaHousing,0.3,MCAR,NM+C_gelu,3,0.3438613728011206,0.297225,success
CaliforniaHousing,0.3,MCAR,PretrainEnc,3,0.47863920094687584,0.297225,success
CaliforniaHousing,0.3,MCAR,ImputeMLP,3,0.5652904420190334,0.297225,success
CaliforniaHousing,0.3,MCAR,IterImp+Ridge,3,0.4222709415456083,0.297225,success
CaliforniaHousing,0.3,MCAR,IterImp+RF,3,0.5498132452225049,0.297225,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d3,4,0.4409553132796531,0.293975,success
CaliforniaHousing,0.3,MCAR,NeuMiss_d5,4,0.41359437190332604,0.293975,success
CaliforniaHousing,0.3,MCAR,NM+C_gelu,4,0.44415120189594026,0.293975,success
CaliforniaHousing,0.3,MCAR,PretrainEnc,4,0.5668539633984034,0.293975,success
CaliforniaHousing,0.3,MCAR,ImputeMLP,4,0.6132787011752687,0.293975,success
CaliforniaHousing,0.3,MCAR,IterImp+Ridge,4,0.4516463790556292,0.293975,success
CaliforniaHousing,0.3,MCAR,IterImp+RF,4,0.5849583257651535,0.293975,success
CaliforniaHousing,0.3,MAR,NeuMiss_d3,0,0.3869966767335775,0.34,success
CaliforniaHousing,0.3,MAR,NeuMiss_d5,0,0.12655415767742906,0.34,success
CaliforniaHousing,0.3,MAR,NM+C_gelu,0,0.4322018505188646,0.34,success
CaliforniaHousing,0.3,MAR,PretrainEnc,0,0.4530124555512568,0.34,success
CaliforniaHousing,0.3,MAR,ImputeMLP,0,0.5354795747074439,0.34,success
CaliforniaHousing,0.3,MAR,IterImp+Ridge,0,0.2184028601543534,0.34,success
CaliforniaHousing,0.3,MAR,IterImp+RF,0,0.5261167262604598,0.34,success
CaliforniaHousing,0.3,MAR,NeuMiss_d3,1,0.3948726664876926,0.336425,success
CaliforniaHousing,0.3,MAR,NeuMiss_d5,1,0.3605605516943653,0.336425,success
CaliforniaHousing,0.3,MAR,NM+C_gelu,1,0.47589090680212265,0.336425,success
CaliforniaHousing,0.3,MAR,PretrainEnc,1,0.5299497968683164,0.336425,success
CaliforniaHousing,0.3,MAR,ImputeMLP,1,0.5578800085826479,0.336425,success
CaliforniaHousing,0.3,MAR,IterImp+Ridge,1,0.3229790843317044,0.336425,success
CaliforniaHousing,0.3,MAR,IterImp+RF,1,0.5165383924807867,0.336425,success
CaliforniaHousing,0.3,MAR,NeuMiss_d3,2,0.37134539871106764,0.336075,success
CaliforniaHousing,0.3,MAR,NeuMiss_d5,2,0.38684407950802224,0.336075,success
CaliforniaHousing,0.3,MAR,NM+C_gelu,2,0.48419105361354287,0.336075,success
CaliforniaHousing,0.3,MAR,PretrainEnc,2,0.5369714019318064,0.336075,success
CaliforniaHousing,0.3,MAR,ImputeMLP,2,0.579680562721107,0.336075,success
CaliforniaHousing,0.3,MAR,IterImp+Ridge,2,0.12311895734338074,0.336075,success
CaliforniaHousing,0.3,MAR,IterImp+RF,2,0.5373396858230461,0.336075,success
CaliforniaHousing,0.3,MAR,NeuMiss_d3,3,0.4816660660186164,0.335075,success
CaliforniaHousing,0.3,MAR,NeuMiss_d5,3,0.4667621471214196,0.335075,success
CaliforniaHousing,0.3,MAR,NM+C_gelu,3,0.3856384582647391,0.335075,success
CaliforniaHousing,0.3,MAR,PretrainEnc,3,0.549661983099397,0.335075,success
CaliforniaHousing,0.3,MAR,ImputeMLP,3,0.6030043205207276,0.335075,success
CaliforniaHousing,0.3,MAR,IterImp+Ridge,3,0.42003447772270885,0.335075,success
