scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,0,12.579261,11.064651,0.78205407,0.8079123,38.23016381263733,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,1,13.134309,11.849631,0.72459567,0.7676107,28.036818027496338,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d3,A,0,13.9001875,11.917886,0.75916797,0.7930997,14.427016019821167,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d3,A,1,14.102056,13.308793,0.7043037,0.73899436,17.373157739639282,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d5,A,0,14.106263,12.272157,0.75559753,0.7869494,20.468069791793823,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d5,A,1,14.793471,13.41228,0.68980587,0.7369648,20.522355318069458,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d7,A,0,16.545946,13.756744,0.71332806,0.7611762,35.63880896568298,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d7,A,1,15.480565,13.942105,0.6753987,0.7265742,42.56475591659546,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d3_res,A,0,13.159119,11.566924,0.7720076,0.7991926,11.886721134185791,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d3_res,A,1,13.665904,12.603897,0.71344906,0.75281847,20.228577852249146,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d5_res,A,0,12.858865,11.268651,0.77720976,0.80437076,25.73870611190796,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d5_res,A,1,13.9704895,12.55395,0.70706236,0.753798,23.295045852661133,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d7_res,A,0,12.77445,10.679469,0.7786723,0.8145992,21.83851385116577,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d7_res,A,1,14.968241,12.240529,0.68614125,0.7599447,51.364380836486816,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d3,B,0,13.355048,11.756007,0.768613,0.79591,24.497477769851685,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d3,B,1,17.532642,16.943071,0.6323701,0.6677207,14.566585779190063,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d5,B,0,14.484119,12.039469,0.74905086,0.790989,18.783966302871704,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d5,B,1,15.02524,13.439733,0.68494606,0.7364265,21.171213150024414,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d7,B,0,15.545891,12.827791,0.73065484,0.77730334,25.86858296394348,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d7,B,1,16.700903,15.2590275,0.64981025,0.7007473,26.98347806930542,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d3_res,B,0,13.129779,11.543874,0.7725159,0.79959273,16.841273069381714,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d3_res,B,1,15.053957,13.781716,0.68434393,0.72971964,16.612128019332886,100,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d5_res,B,0,12.932677,11.2507,0.7759309,0.8046824,22.842348098754883,100,success
