scenario,model,seed,r2,mse
gaussian_linear_MCAR,NeuMiss_orig,42,0.7837007,17.323165893554688
gaussian_linear_MCAR,ImputeMLP,42,0.76439804,18.869098663330078
gaussian_linear_MCAR,PretrainEncoder,42,0.7706484,18.368511199951172
gaussian_linear_MCAR,SuffStat_NeuMiss,42,0.761883,19.070520401000977
gaussian_linear_MCAR,MultiImpute_K5,42,0.7430167,20.581504821777344
gaussian_linear_MCAR,MultiImpute_K10,42,0.74706113,20.257593154907227
gaussian_linear_MCAR,Oracle_SuffStat,42,0.7963163,16.31279754638672
gaussian_linear_MCAR,Oracle_MultiImp,42,0.80087334,15.947831153869629
gaussian_linear_MCAR,NeuMiss_orig,123,0.55706364,2.739844799041748
gaussian_linear_MCAR,ImputeMLP,123,0.49163133,3.144585371017456
gaussian_linear_MCAR,PretrainEncoder,123,0.5167121,2.9894447326660156
gaussian_linear_MCAR,SuffStat_NeuMiss,123,0.48197883,3.2042925357818604
gaussian_linear_MCAR,MultiImpute_K5,123,0.42943597,3.529303789138794
gaussian_linear_MCAR,MultiImpute_K10,123,0.40927762,3.6539957523345947
gaussian_linear_MCAR,Oracle_SuffStat,123,0.5873652,2.552410125732422
gaussian_linear_MCAR,Oracle_MultiImp,123,0.58999133,2.536165714263916
gaussian_linear_MCAR,NeuMiss_orig,456,0.7656436,8.478814125061035
gaussian_linear_MCAR,ImputeMLP,456,0.7560482,8.825966835021973
gaussian_linear_MCAR,PretrainEncoder,456,0.75995076,8.68477725982666
gaussian_linear_MCAR,SuffStat_NeuMiss,456,0.7496459,9.057598114013672
gaussian_linear_MCAR,MultiImpute_K5,456,0.72985244,9.773709297180176
gaussian_linear_MCAR,MultiImpute_K10,456,0.7287754,9.812675476074219
gaussian_linear_MCAR,Oracle_SuffStat,456,0.7942754,7.442940711975098
gaussian_linear_MCAR,Oracle_MultiImp,456,0.79549974,7.398645401000977
gaussian_quadratic_MCAR,NeuMiss_orig,42,-0.05147767,12016.7890625
gaussian_quadratic_MCAR,ImputeMLP,42,0.66816974,3792.314697265625
gaussian_quadratic_MCAR,PretrainEncoder,42,0.68722844,3574.502685546875
gaussian_quadratic_MCAR,SuffStat_NeuMiss,42,0.6786473,3672.57275390625
