scenario,distribution,response,missing_mechanism,method,seed,r2_test,mse_test,time_s,status
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_orig_d3,0,0.7406548941954596,15.881366729736328,3.155411958694458,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d3,0,0.6937367036112978,18.75446891784668,1.967156171798706,success
gaussian_linear_MCAR,gaussian,linear,MCAR,ImputeMLP,0,0.7593846784363139,14.734421730041504,2.4051589965820312,success
gaussian_linear_MCAR,gaussian,linear,MCAR,PretrainEnc_d3,0,0.7458611169754537,15.562556266784668,6.1953771114349365,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM-NL_d3_128,0,0.7452134869509364,15.602214813232422,5.216756105422974,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM-NL_d5_128,0,0.7454106960167164,15.59013843536377,2.996263027191162,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM-NL_d3_256_128,0,0.750574792087168,15.273907661437988,3.904279947280884,success
gaussian_linear_MCAR,gaussian,linear,MCAR,SuffStat_d3,0,0.7210442178762893,17.08225440979004,2.586435079574585,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_orig_d3,1,0.6574443211395874,17.248323440551758,2.925096273422241,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d3,1,0.6283918095337955,18.711172103881836,2.722465991973877,success
gaussian_linear_MCAR,gaussian,linear,MCAR,ImputeMLP,1,0.6903789659625057,15.590002059936523,2.2021241188049316,success
gaussian_linear_MCAR,gaussian,linear,MCAR,PretrainEnc_d3,1,0.6721168331029701,16.50953483581543,5.849408864974976,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM-NL_d3_128,1,0.6713233527109173,16.549488067626953,5.012686014175415,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM-NL_d5_128,1,0.6698781024412847,16.62225914001465,3.933347702026367,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM-NL_d3_256_128,1,0.66892995644362,16.670000076293945,3.3961122035980225,success
gaussian_linear_MCAR,gaussian,linear,MCAR,SuffStat_d3,1,0.6312856056664204,18.56546401977539,2.078300952911377,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_orig_d3,2,0.7177895444237057,36.24240493774414,2.3070359230041504,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d3,2,0.7351429081320396,34.01382827758789,1.662858009338379,success
gaussian_linear_MCAR,gaussian,linear,MCAR,ImputeMLP,2,0.7647608506346752,30.210193634033203,1.9623417854309082,success
gaussian_linear_MCAR,gaussian,linear,MCAR,PretrainEnc_d3,2,0.7441594938233921,32.85588836669922,4.62890100479126,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM-NL_d3_128,2,0.7469197458613597,32.501407623291016,3.139991044998169,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM-NL_d5_128,2,0.7407928031993913,33.28824996948242,2.826385021209717,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM-NL_d3_256_128,2,0.7463250403886434,32.577781677246094,2.8007850646972656,success
gaussian_linear_MCAR,gaussian,linear,MCAR,SuffStat_d3,2,0.7288022445831929,34.82811737060547,2.330491065979004,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_orig_d3,0,-0.0007870308712312202,8916.0888671875,1.4807538986206055,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3,0,0.5743844744458859,3791.841552734375,3.045428991317749,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,ImputeMLP,0,0.6925705053056075,2738.9130859375,4.676769018173218,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,PretrainEnc_d3,0,0.6410751192466865,3197.689453125,9.632354974746704,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d3_128,0,0.638920704447437,3216.88330078125,7.144769191741943,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d5_128,0,0.5882897917821043,3667.9580078125,8.750771760940552,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d3_256_128,0,0.6596683399293755,3032.041015625,4.265631914138794,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,SuffStat_d3,0,0.624784265301749,3342.825927734375,3.049984931945801,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_orig_d3,1,0.2844256854824079,9244.2138671875,2.6101670265197754,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3,1,0.5252250420300197,6133.4248046875,3.255218982696533,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,ImputeMLP,1,0.593116110197269,5256.36767578125,6.344815254211426,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,PretrainEnc_d3,1,0.5772140597975302,5461.7998046875,14.42917513847351,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d3_128,1,0.5549276796405376,5749.70849609375,6.926992893218994,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d5_128,1,0.5606566510238391,5675.6982421875,8.33426570892334,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d3_256_128,1,0.5598205106496208,5686.5,10.455119132995605,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,SuffStat_d3,1,0.5374883585916617,5975.0,4.789137840270996,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_orig_d3,2,-0.13865288806388953,37861.671875,2.2797510623931885,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3,2,0.4881791458013429,17018.701171875,4.206135034561157,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,ImputeMLP,2,0.6553400661558076,11460.3857421875,3.488823175430298,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,PretrainEnc_d3,2,0.6050566478339829,13132.3740234375,10.354750394821167,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d3_128,2,0.4755424161824572,17438.888671875,5.9360129833221436,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d5_128,2,0.4603295408342417,17944.736328125,7.838985919952393,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM-NL_d3_256_128,2,0.6568716681415862,11409.4580078125,3.935971975326538,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,SuffStat_d3,2,0.5466601149932058,15074.1337890625,3.972809076309204,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_orig_d3,0,0.48229668619275845,18.245771408081055,1.4746589660644531,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+C_gelu_d3,0,0.597419936529378,14.188404083251953,1.7520487308502197,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,ImputeMLP,0,0.7282437232923329,9.577692031860352,1.739307165145874,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,PretrainEnc_d3,0,0.6503017668731843,12.324653625488281,7.2014100551605225,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_128,0,0.6675169283855689,11.717927932739258,3.842517852783203,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d5_128,0,0.6599169329315548,11.985779762268066,4.5890069007873535,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_256_128,0,0.6991389686240383,10.603450775146484,1.9104828834533691,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,SuffStat_d3,0,0.6809884975733094,11.24314022064209,2.1007087230682373,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_orig_d3,1,0.35962869614611015,41.65505599975586,1.27150297164917,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+C_gelu_d3,1,0.4412542843902698,36.34545135498047,2.1082568168640137,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,ImputeMLP,1,0.5405095455564262,29.889066696166992,1.8719398975372314,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,PretrainEnc_d3,1,0.48447790754150033,33.53382873535156,4.415238857269287,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_128,1,0.4696945546269069,34.495460510253906,1.8935167789459229,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d5_128,1,0.48760791831207306,33.33022689819336,2.580740213394165,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_256_128,1,0.4835174933547455,33.5963020324707,2.510427713394165,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,SuffStat_d3,1,0.44653764733300183,36.00177764892578,1.7889020442962646,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_orig_d3,2,0.44279865875942737,14.610605239868164,1.2800850868225098,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+C_gelu_d3,2,0.48056576685437735,13.620298385620117,1.5542030334472656,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,ImputeMLP,2,0.6693457338754606,8.670221328735352,1.1749060153961182,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,PretrainEnc_d3,2,0.5682636590856669,11.320735931396484,4.585496664047241,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_128,2,0.6246954098291255,9.841015815734863,2.7705347537994385,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d5_128,2,0.5442856414416772,11.94947338104248,2.9242539405822754,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM-NL_d3_256_128,2,0.6174329996186235,10.03144645690918,2.0061471462249756,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,SuffStat_d3,2,0.5950923257643114,10.617250442504883,1.331861972808838,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NeuMiss_orig_d3,0,-0.013723336993084256,1188.3985595703125,1.4916071891784668,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM+C_gelu_d3,0,0.424987462992921,674.09326171875,2.24652099609375,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,ImputeMLP,0,0.5869564311930733,484.21533203125,4.219327926635742,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,PretrainEnc_d3,0,0.5700766631735206,504.003662109375,8.708614826202393,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d3_128,0,0.5756888481447728,497.4244384765625,5.362002849578857,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d5_128,0,0.5071164175648051,577.8126220703125,5.200130939483643,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,NM-NL_d3_256_128,0,0.5785717350051565,494.0447998046875,3.1579270362854004,success
gaussian_interaction_MCAR,gaussian,interaction,MCAR,SuffStat_d3,0,0.4553746066045453,638.4700927734375,3.2389659881591797,success
