scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,0,6634.5713,6469.5903,0.022061825,0.14678347,27.8092839717865,88,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,1,6893.829,6768.2847,0.42108136,0.48528975,29.78262495994568,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d2_ef2,C,0,2419.7913,2034.578,0.6433219,0.73167765,24.71454906463623,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d2_ef2,C,1,4311.4336,3824.7346,0.63794154,0.709139,24.43173098564148,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d2_ef2,C,0,2397.63,2072.8132,0.6465885,0.72663516,21.270689010620117,99,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d2_ef2,C,1,4424.471,3771.7234,0.6284491,0.71317035,15.651678085327148,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3_ef2,C,0,2284.8516,1910.84,0.66321206,0.74799633,25.10324215888977,99,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3_ef2,C,1,4459.93,3559.1692,0.62547135,0.72933453,16.610107898712158,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d3_ef2,C,0,2432.462,2011.066,0.6414542,0.7347784,25.947870016098022,78,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d3_ef2,C,1,4390.764,3488.585,0.63127965,0.7347023,21.660550832748413,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_ef2,C,0,2562.39,1841.3423,0.62230283,0.7571618,32.85214805603027,82,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_ef2,C,1,4577.738,3364.488,0.6155783,0.74413955,25.987523794174194,87,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d5_ef2,C,0,2665.6204,1694.433,0.6070866,0.77653635,30.876312255859375,99,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d5_ef2,C,1,4488.953,3506.6414,0.6230341,0.7333292,30.323452949523926,70,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d7_ef2,C,0,2664.1064,1901.03,0.60730976,0.7492901,46.01690864562988,71,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d7_ef2,C,1,4998.9663,3267.177,0.5802051,0.75153977,28.67607307434082,77,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d7_ef2,C,0,2806.984,1544.4282,0.5862496,0.7963191,39.346166133880615,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d7_ef2,C,1,4628.2275,3998.0645,0.6113384,0.69595766,19.22949719429016,47,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d2_ef3,C,0,2307.9934,1954.1658,0.65980095,0.7422825,19.687560081481934,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d2_ef3,C,1,4284.5513,3641.0542,0.640199,0.7231074,18.406979084014893,95,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d2_ef3,C,0,2374.676,1851.9108,0.6499719,0.755768,18.527984142303467,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d2_ef3,C,1,4221.084,3520.372,0.6455288,0.73228496,18.24713397026062,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3_ef3,C,0,2517.3853,1834.5718,0.6289365,0.7580547,22.403855800628662,84,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3_ef3,C,1,4248.0537,3496.8728,0.64326394,0.73407197,32.14880394935608,77,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d3_ef3,C,0,2380.5454,1753.4722,0.64910674,0.7687502,33.42868113517761,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d3_ef3,C,1,4240.3125,3479.495,0.643914,0.7353935,7.298853158950806,73,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_ef3,C,0,2563.7676,1704.7562,0.62209976,0.7751749,10.518310070037842,78,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_ef3,C,1,4526.847,3304.674,0.6198519,0.7486882,9.23626184463501,66,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d5_ef3,C,0,2602.2393,1850.2471,0.616429,0.7559874,9.897105932235718,71,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d5_ef3,C,1,4374.1143,3311.3958,0.63267785,0.74817705,10.044029235839844,71,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d7_ef3,C,0,2703.721,1695.7366,0.6014706,0.77636445,12.122943878173828,64,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d7_ef3,C,1,4583.688,3537.728,0.61507857,0.7309651,9.918807029724121,54,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d7_ef3,C,0,2717.3328,1607.2542,0.5994642,0.7880336,20.220228910446167,71,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d7_ef3,C,1,4489.391,2995.666,0.6229973,0.7721875,29.053892850875854,72,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d2_ef4,C,0,2320.153,1721.1453,0.6580086,0.7730135,35.25612020492554,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d2_ef4,C,1,4275.5845,3489.5042,0.640952,0.7346324,25.394596099853516,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d2_ef4,C,0,2378.0554,1759.5315,0.6494738,0.7679511,17.715574979782104,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d2_ef4,C,1,4266.7466,3421.9668,0.6416942,0.7397684,17.35076403617859,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3_ef4,C,0,2339.5854,1697.7007,0.6551443,0.7761054,17.824766874313354,86,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3_ef4,C,1,4240.376,3425.9648,0.6439087,0.7394644,14.59856390953064,71,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d3_ef4,C,0,2346.09,1707.184,0.6541855,0.7748547,17.678405046463013,89,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d3_ef4,C,1,4247.1543,3206.034,0.6433395,0.7561895,17.967194080352783,91,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_ef4,C,0,2490.454,1809.5767,0.6329062,0.7613511,15.639183044433594,54,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_ef4,C,1,4317.4937,3215.147,0.63743263,0.7554965,17.622193098068237,57,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d5_ef4,C,0,2506.8647,1605.2059,0.6304872,0.78830373,18.432658910751343,68,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d5_ef4,C,1,4341.238,3259.233,0.6354387,0.7521439,16.194233179092407,60,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d7_ef4,C,0,2670.1086,1570.9203,0.60642505,0.79282534,25.747400283813477,64,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d7_ef4,C,1,4664.427,3466.216,0.6082984,0.73640335,23.006731033325195,55,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d7_ef4,C,0,2672.1104,1676.7018,0.60613,0.77887475,22.170443058013916,59,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_relu_d7_ef4,C,1,4263.1226,3234.3794,0.6419985,0.7540339,14.56909704208374,49,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d2_ef6,C,0,2298.2498,1849.4177,0.6612372,0.7560968,11.95496129989624,76,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d2_ef6,C,1,4329.51,3197.161,0.6364236,0.7568643,15.519139766693115,100,success
