scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d1,original,0,13.039724,12.196523,0.7740762,0.7882625,15.534439086914062,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d1,original,1,14.008714,13.367113,0.7062609,0.73785067,13.580509901046753,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d1,original,2,27.034218,24.334875,0.79331124,0.81234014,9.627572059631348,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,0,12.045289,10.7186365,0.7913056,0.8139193,15.19918704032898,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,1,13.62531,12.745633,0.7143003,0.7500388,16.393615007400513,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,2,25.883963,22.242369,0.8021055,0.82847667,12.05814814567566,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,0,12.670514,10.9555,0.78047305,0.8098072,10.79404902458191,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,1,12.951742,11.514463,0.72842383,0.77418387,20.963571071624756,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,2,25.353004,21.418785,0.80616486,0.8348278,15.607029914855957,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_relu_d3,A,0,14.430375,12.731956,0.749982,0.7789671,17.55395197868347,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_relu_d3,A,1,14.113114,13.2040615,0.7040718,0.74104834,17.68697214126587,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_relu_d3,A,2,28.843992,23.94898,0.77947474,0.81531596,21.218058109283447,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d3,A,0,14.5142765,12.678493,0.74852836,0.7798952,22.683750867843628,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d3,A,1,14.028084,12.943788,0.7058548,0.74615264,23.975173234939575,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_gelu_d3,A,2,31.81203,27.57934,0.7567827,0.78732026,18.205039024353027,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_tanh_d3,A,0,12.453905,11.23867,0.784226,0.8048912,11.612367153167725,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_tanh_d3,A,1,14.371739,13.02118,0.69864887,0.74463487,9.467527866363525,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_tanh_d3,A,2,26.90681,22.946617,0.7942853,0.8230458,11.210259199142456,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_silu_d3,A,0,13.820234,12.109472,0.76055324,0.7897737,12.956294775009155,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_silu_d3,A,1,13.979292,12.84047,0.7068778,0.7481789,15.405371904373169,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+A_silu_d3,A,2,28.686657,24.555433,0.7806776,0.81063926,13.337641954421997,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_relu_d3,B,0,14.948227,13.476785,0.74100983,0.7660365,14.951449155807495,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_relu_d3,B,1,15.06303,14.305864,0.6841537,0.7194403,12.83864426612854,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_relu_d3,B,2,31.879585,27.019665,0.75626624,0.7916362,12.304514169692993,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d3,B,0,13.465554,11.926924,0.76669836,0.7929428,14.487943887710571,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d3,B,1,13.732839,12.78026,0.71204555,0.7493597,10.701522827148438,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+B_gelu_d3,B,2,28.652136,24.121403,0.78094155,0.81398636,10.31836485862732,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d3,C,0,13.226983,10.568008,0.77083176,0.8165343,8.985344171524048,80,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d3,C,1,15.58279,11.502686,0.6732552,0.7744149,16.072208881378174,112,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d3,C,2,29.801188,21.468653,0.77215654,0.8344432,27.10175895690918,117,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+D_gelu_d3,D,0,14.177557,11.748076,0.75436234,0.7960477,26.23500394821167,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+D_gelu_d3,D,1,14.237355,12.269747,0.7014667,0.75937164,13.562582015991211,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+D_gelu_d3,D,2,29.96749,23.709145,0.77088505,0.8171655,9.968666076660156,107,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d1,original,0,6242.112,6604.547,0.07991052,0.12898523,6.202713966369629,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d1,original,1,6768.4976,7141.1826,0.4316063,0.45693183,9.137946844100952,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d1,original,2,31309.355,32521.627,0.041556656,0.07933563,12.397017240524292,109,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d3,original,0,6499.1025,6496.9536,0.042029977,0.14317477,16.951129913330078,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d3,original,1,6650.6787,6696.285,0.44150025,0.4907651,19.027040004730225,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d3,original,2,31683.424,32574.037,0.03010565,0.07785195,7.8504838943481445,67,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,0,6575.688,6377.417,0.030741274,0.15893936,11.9858078956604,114,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,1,6811.7686,6711.0923,0.4279725,0.48963904,15.460398197174072,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,2,33052.05,30232.322,-0.011790872,0.14414424,27.787623167037964,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_relu_d3,A,0,2892.3687,2670.5005,0.57366383,0.64781153,18.793342351913452,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_relu_d3,A,1,4261.1484,4081.662,0.6421643,0.68960035,16.81528878211975,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_relu_d3,A,2,15289.748,14276.478,0.5319495,0.59584296,21.99948287010193,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_gelu_d3,A,0,2819.0513,2700.9175,0.58447087,0.6438001,17.779442310333252,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_gelu_d3,A,1,4390.7515,4236.807,0.6312807,0.67780197,19.91817879676819,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_gelu_d3,A,2,14742.573,12776.07,0.54869974,0.6383184,33.40423393249512,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_tanh_d3,A,0,3698.512,3750.7012,0.45483804,0.50535345,31.373031854629517,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_tanh_d3,A,1,5165.1665,4990.764,0.5662482,0.6204655,26.261306047439575,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_tanh_d3,A,2,17927.246,17426.78,0.45121038,0.50666016,26.141982316970825,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_silu_d3,A,0,2822.0776,2778.5835,0.5840248,0.63355744,18.84820008277893,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_silu_d3,A,1,4574.2446,4489.443,0.6158716,0.65858966,23.78285503387451,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+A_silu_d3,A,2,13699.28,12441.119,0.58063704,0.6478007,30.949026107788086,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+B_relu_d3,B,0,2940.752,2692.6885,0.56653214,0.6448853,31.785555839538574,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+B_relu_d3,B,1,4414.301,4259.359,0.6293031,0.67608696,17.891865968704224,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+B_relu_d3,B,2,12998.96,12244.174,0.6020752,0.6533761,15.977390050888062,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+B_gelu_d3,B,0,3109.044,2836.9456,0.5417258,0.6258606,20.491047859191895,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+B_gelu_d3,B,1,4612.948,4648.739,0.6126214,0.6464757,22.716804265975952,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+B_gelu_d3,B,2,13001.1,12011.486,0.6020098,0.65996325,13.840385913848877,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3,C,0,2327.1826,1812.1792,0.65697247,0.76100785,36.70376110076904,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3,C,1,4328.8413,3631.985,0.63647974,0.7237971,46.09762501716614,101,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d3,C,2,10918.074,8664.634,0.6657754,0.7547103,26.653515815734863,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_gelu_d3,D,0,2960.3496,2447.012,0.56364346,0.67728543,22.32673668861389,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_gelu_d3,D,1,4122.4204,3664.1958,0.6538142,0.7213476,25.512844800949097,120,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+D_gelu_d3,D,2,13705.73,11736.79,0.58043957,0.66773975,24.708914041519165,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_d1,original,0,13.254701,15.530143,0.52832425,0.526371,13.153504848480225,116,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_d1,original,1,32.474472,33.02845,0.4526065,0.51404345,12.81526517868042,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_d1,original,2,11.860755,12.252009,0.5721338,0.5885861,12.990243911743164,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_d3,original,0,13.150794,14.603909,0.5320218,0.5546187,13.783011674880981,106,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_d3,original,1,32.33292,31.945559,0.45499253,0.52997637,16.550766229629517,119,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_d3,original,2,12.147839,12.441107,0.56177753,0.5822363,14.529235124588013,94,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_d5,original,0,13.217742,14.373668,0.5296395,0.56164044,16.980686902999878,78,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_d5,original,1,34.43472,33.11607,0.41956437,0.5127543,36.965715169906616,102,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NeuMiss_d5,original,2,13.086515,11.761187,0.5279156,0.60506755,20.30633282661438,114,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_relu_d3,A,0,12.246631,11.921673,0.56419694,0.6364199,18.533782958984375,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_relu_d3,A,1,25.46185,23.526937,0.5708121,0.6538418,20.223090887069702,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_relu_d3,A,2,10.600888,8.77174,0.6175824,0.7054511,22.812845945358276,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_gelu_d3,A,0,11.385112,11.519097,0.5948546,0.64869744,19.548299074172974,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_gelu_d3,A,1,24.315756,22.821093,0.5901308,0.66422707,16.64617109298706,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_gelu_d3,A,2,10.259203,8.518088,0.6299084,0.7139685,23.569376945495605,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_tanh_d3,A,0,10.996308,11.91904,0.6086904,0.63650024,37.96611928939819,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_tanh_d3,A,1,26.331831,24.664324,0.5561476,0.63710713,21.392597913742065,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_tanh_d3,A,2,9.869389,9.252328,0.6439706,0.6893133,18.57133173942566,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_silu_d3,A,0,10.272052,10.724805,0.6344634,0.6729213,18.52861785888672,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_silu_d3,A,1,23.586964,21.515192,0.6024154,0.68344116,16.726248025894165,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+A_silu_d3,A,2,9.960398,8.777303,0.64068747,0.70526433,16.186758041381836,116,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+B_relu_d3,B,0,12.324214,11.350874,0.5614361,0.6538278,16.88299584388733,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+B_relu_d3,B,1,24.161068,21.901644,0.5927382,0.6777552,16.671823978424072,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+B_relu_d3,B,2,10.777757,9.635485,0.611202,0.67644715,17.832496166229248,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+B_gelu_d3,B,0,10.101865,9.774042,0.6405196,0.70191705,17.85659623146057,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+B_gelu_d3,B,1,23.997776,23.826345,0.5954907,0.6494365,16.791752099990845,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+B_gelu_d3,B,2,10.713683,9.25823,0.6135134,0.68911505,16.85467505455017,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+C_gelu_d3,C,0,10.474421,7.2029366,0.627262,0.7803291,28.733919143676758,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+C_gelu_d3,C,1,23.721601,16.609703,0.60014594,0.7556169,24.921224355697632,112,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+C_gelu_d3,C,2,8.928451,6.2700577,0.6779141,0.78945583,10.899231195449829,84,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_gelu_d3,D,0,11.219276,8.674014,0.60075593,0.73546505,22.166945695877075,120,success
gaussian_cubic_MCAR,gaussian,cubic,MCAR,NM+D_gelu_d3,D,1,26.769037,23.864614,0.548778,0.64887345,14.515552997589111,91,success
