scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,0,11.995798,10.792104,0.7921631,0.8126438,8.500527143478394,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,1,13.873857,12.7414875,0.7090886,0.7501201,7.748250722885132,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,2,25.269,22.117653,0.80680716,0.8294384,7.580111980438232,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,0,12.205335,10.5627165,0.7885327,0.81662613,11.38699221611023,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,1,13.381718,11.841159,0.7194079,0.7677769,11.835280895233154,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,2,25.835854,21.599087,0.8024733,0.8334373,11.352278709411621,120,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d3,C,0,13.240666,10.749596,0.7705947,0.8133818,10.737845182418823,74,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d3,C,1,14.571087,11.924162,0.69446886,0.7661491,11.878937244415283,80,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d3,C,2,30.414093,22.154016,0.7674706,0.82915795,16.54598903656006,99,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d5,C,0,14.245036,10.776261,0.7531932,0.8129189,15.751127004623413,75,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d5,C,1,15.107446,11.741074,0.68322235,0.76973975,15.76673412322998,78,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d5,C,2,32.302258,23.301567,0.7530347,0.82030857,12.869969129562378,63,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d7,C,0,14.4668,10.543997,0.74935097,0.8169511,20.130033016204834,78,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d7,C,1,15.605824,10.705498,0.67277217,0.79004896,25.087326765060425,97,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NM+C_gelu_d7,C,2,31.418177,22.023321,0.7597939,0.83016586,18.116616010665894,64,success
