scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,0,6679.1367,6566.4917,0.0154928565,0.134004,4.421739101409912,69,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,1,6992.319,6870.322,0.41281056,0.47753006,8.255752086639404,132,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NeuMiss_d5,original,2,33080.996,32285.879,-0.012676954,0.0860095,5.7058470249176025,92,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr0.5_bs32,C,0,2505.433,1738.703,0.63069826,0.77069795,11.004453897476196,89,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr0.5_bs32,C,1,4444.535,3725.4976,0.6267642,0.7166857,8.042505979537964,64,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr0.5_bs32,C,2,11076.69,7978.109,0.6609199,0.77414536,11.672883033752441,90,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr0.5_bs64,C,0,2504.8032,1841.9369,0.6307911,0.75708336,10.400203943252563,80,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr0.5_bs64,C,1,4374.9707,3178.856,0.6326059,0.7582564,12.754393815994263,102,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr0.5_bs64,C,2,11655.045,7740.451,0.64321524,0.7808733,12.800936937332153,100,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr0.5_bs128,C,0,2562.003,1976.1958,0.6223599,0.73937714,8.912824869155884,70,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr0.5_bs128,C,1,4532.151,3479.9456,0.61940646,0.7353593,8.943141222000122,73,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr0.5_bs128,C,2,12042.619,8493.542,0.6313508,0.7595538,9.93669605255127,80,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr1.0_bs32,C,0,2534.559,1787.9115,0.6264051,0.7642083,10.584148168563843,84,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr1.0_bs32,C,1,4566.3813,3467.9253,0.61653197,0.7362734,9.59754204750061,74,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr1.0_bs32,C,2,11214.539,8227.885,0.6567,0.76707435,11.512226819992065,90,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr1.0_bs64,C,0,2700.3955,1927.2168,0.6019608,0.74583656,8.75856900215149,73,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr1.0_bs64,C,1,4335.916,3601.6895,0.6358856,0.726101,8.312546968460083,67,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr1.0_bs64,C,2,12246.034,10522.767,0.62512386,0.7021079,6.026998996734619,48,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr1.0_bs128,C,0,2706.8496,1904.0674,0.60100937,0.74888957,11.499949216842651,90,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr1.0_bs128,C,1,4588.569,3024.1665,0.6146687,0.77002007,14.977389097213745,118,success
gaussian_quadratic_MCAR,gaussian,quadratic,MCAR,NM+C_gelu_d5_lr1.0_bs128,C,2,11663.887,9386.638,0.6429446,0.73427093,7.576154947280884,61,success
