scenario,distribution,response,missing_mechanism,method,variant,random_state,mse_test,mse_train,r2_test,r2_train,fit_time,n_epochs_actual,status
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,0,11.35369,11.197552,0.8030889,0.8087481,10.158239126205444,124,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,1,13.092042,11.799325,0.73435014,0.7651112,12.563188076019287,152,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d3,original,2,23.640604,22.626251,0.8085866,0.82276493,16.18775701522827,200,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,0,11.181591,10.838588,0.8060737,0.8148792,11.080642700195312,113,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,1,12.743068,11.248876,0.7414312,0.776069,11.744879245758057,117,success
gaussian_linear_MCAR,gaussian,linear,MCAR,NeuMiss_d5,original,2,23.136784,21.8101,0.81266594,0.82915795,13.187819719314575,129,success
gaussian_linear_MCAR,gaussian,linear,MCAR,Best1_NM+C_gelu_d5,C,0,14.141273,11.322404,0.7547429,0.8066157,21.58749008178711,101,success
gaussian_linear_MCAR,gaussian,linear,MCAR,Best1_NM+C_gelu_d5,C,1,14.331974,11.4809,0.7091907,0.7714501,19.615413188934326,90,success
gaussian_linear_MCAR,gaussian,linear,MCAR,Best1_NM+C_gelu_d5,C,2,27.512472,22.754185,0.7772369,0.8217628,13.001226902008057,61,success
gaussian_linear_MCAR,gaussian,linear,MCAR,Best2_NM+C_gelu_d5,C,0,12.326646,11.1505165,0.7862146,0.8095515,12.26825475692749,58,success
gaussian_linear_MCAR,gaussian,linear,MCAR,Best2_NM+C_gelu_d5,C,1,13.988516,11.0887165,0.7161598,0.7792573,18.845813989639282,89,success
gaussian_linear_MCAR,gaussian,linear,MCAR,Best2_NM+C_gelu_d5,C,2,26.340313,21.83992,0.7867276,0.8289244,14.8767991065979,70,success
